system:index,aspecto_deg,depresion_rocio_verano_c,elev_m,fire_label,nbr_verano,ndvi_verano,ndwi_verano,pendiente_deg,precip_verano_mm,tmax_verano_c,viento10m_verano_max_ms,year,.geo
2154,321,6.996497939769256,497,0,0.47550717,0.7251952,0.2062147,9,243.23810907049292,37.6268249511719,3.506060528818538,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.8047382772053755,42.512770820956355]}"
2155,309,6.996497939769256,580,0,0.49221358,0.75936,0.21816118,7,243.23810907049292,37.6268249511719,3.506060528818538,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.79575512436418,42.512770820956355]}"
2156,256,6.996497939769256,646,0,0.42976356,0.6928943,0.1764977,1,243.23810907049292,37.6268249511719,3.506060528818538,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.7867719715229855,42.512770820956355]}"
2157,74,6.996497939769256,607,0,0.19776481,0.5451857,-0.025306445,2,243.23810907049292,37.6268249511719,3.506060528818538,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.77778881868179,42.512770820956355]}"
2158,186,6.996497939769256,596,0,0.5084561,0.7589344,0.22717819,1,243.23810907049292,37.6268249511719,3.506060528818538,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.768805665840595,42.512770820956355]}"
2159,153,6.996497939769256,610,0,0.35965848,0.66313,0.1027916,1,243.23810907049292,37.6268249511719,3.506060528818538,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.759822512999399,42.512770820956355]}"
2160,96,6.996497939769256,582,0,0.27180582,0.5994633,0.020878643,1,243.23810907049292,37.6268249511719,3.506060528818538,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.750839360158205,42.512770820956355]}"
2161,299,7.41036472373105,596,0,0.13221776,0.48534483,-0.08607987,2,222.13991256399268,37.6697937011719,3.505724221939015,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.741856207317009,42.512770820956355]}"
2162,340,7.41036472373105,631,0,0.20198071,0.57439446,-0.026946107,2,222.13991256399268,37.6697937011719,3.505724221939015,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.732873054475814,42.512770820956355]}"
2163,45,7.41036472373105,614,0,0.43548387,0.7240464,0.16044444,4,222.13991256399268,37.6697937011719,3.505724221939015,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.723889901634618,42.512770820956355]}"
2164,43,7.41036472373105,557,0,0.57774466,0.79310346,0.31590107,8,222.13991256399268,37.6697937011719,3.505724221939015,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.714906748793424,42.512770820956355]}"
2165,36,7.41036472373105,467,0,0.6215958,0.83461845,0.35803944,7,222.13991256399268,37.6697937011719,3.505724221939015,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.705923595952228,42.512770820956355]}"
2166,3,7.41036472373105,455,0,0.59404004,0.8011108,0.32588378,3,222.13991256399268,37.6697937011719,3.505724221939015,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.696940443111033,42.512770820956355]}"
2167,349,7.41036472373105,463,0,0.61089313,0.8229303,0.3355905,4,222.13991256399268,37.6697937011719,3.505724221939015,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.687957290269837,42.512770820956355]}"
2168,345,7.41036472373105,475,0,0.5870378,0.80224717,0.32375652,6,222.13991256399268,37.6697937011719,3.505724221939015,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.678974137428643,42.512770820956355]}"
2169,328,7.41036472373105,501,0,0.5020226,0.7175555,0.26013914,7,222.13991256399268,37.6697937011719,3.505724221939015,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.669990984587447,42.512770820956355]}"
